Place,Horse_name,Jockey_name,Trainer_name,Weight,Distance,Prize,Ground_state
1,birthday prince,pietsch,,58.0,1500,0,nass
2,chartreuse,nagy,,58.0,1500,0,nass
3,pedro cays,bojko,,58.0,1500,0,nass
4,goldenveil,wandt,,56.0,1500,0,nass
5,prince vince,danz,,57.0,1500,0,nass
6,true lies,frank,,56.0,1500,0,nass
7,sajja,palik,,58.0,1500,0,nass
8,serafina,lopez,,56.0,1500,0,nass
9,serko (fr) (h),weißmeier,,58.0,1500,0,nass
10,""" champions time """,porcu,,56.0,1500,0,nass
1,kreuz as,pietsch,,58.0,1500,0,nass
2,calyxa,starke,,56.0,1500,0,nass
3,ciel de loire,piechulek,,56.0,1500,0,nass
4,""" im on fire """,minarik,,56.5,1500,0,nass
5,casiro,nagy,,58.0,1500,0,nass
6,free writer,lopez,,58.0,1500,0,nass
7,maid for sunshine,hellyn,,56.0,1500,0,nass
1,flashing star,seidl,,64.0,1900,0,nass
2,cioccomia,wagner,,56.0,1900,0,nass
3,shakti,minarik,,57.5,1900,0,nass
4,white river,laznovska,,52.5,1900,0,nass
5,sir hilleshage,pietsch,,60.5,1900,0,nass
6,rocket night,best,,56.0,1900,0,nass
7,ribana,pecheur,,51.0,1900,0,nass
8,feuergott,wandt,,53.0,1900,0,nass
9,najade,ermashev,,57.5,1900,0,nass
10,""" tigers star """,mouchova,,55.5,1900,0,nass
11,easter snow,danz,,57.0,1900,0,nass
1,dreamspeed,wandt,,56.0,1900,0,nass
2,turgenjew,starke,,56.0,1900,0,nass
3,feather cloud,bojko,,57.0,1900,0,nass
4,bobbi dick,pecheur,,55.0,1900,0,nass
5,merlino,danz,,55.0,1900,0,nass
6,new soul,murke,,54.0,1900,0,nass
1,leoderprofi,minarik,,53.0,1500,0,nass
2,worlds danger,pecheur,,53.5,1500,0,nass
3,küheylah asil,pietsch,,59.0,1500,0,nass
4,feather storm,bojko,,54.0,1500,0,nass
5,torres,starke,,60.0,1500,0,nass
6,alexis,seidl,,53.0,1500,0,nass
7,könig shuttle,lopez,,59.0,1500,0,nass
8,little star,hellyn,,62.0,1500,0,nass
9,historic occasion (ire),best,,52.5,1500,0,nass
1,rabia,seidl,,54.0,1500,0,nass
2,manisa (fr),minarik,,56.0,1500,0,nass
3,timorow,starke,,58.0,1500,0,nass
4,al quintana,piechulek,,56.0,1500,0,nass
5,winning baby,pecheur,,56.0,1500,0,nass
6,fire of anatolia,frank,,56.0,1500,0,nass
7,villanesco,pietsch,,58.0,1500,0,nass
8,be my lion,wandt,,58.0,1500,0,nass
9,lunar prospect (fr),palik,,58.0,1500,0,nass
1,earl dragon,starke,,56.5,1900,0,nass
2,ami rouge,pecheur,,52.5,1900,0,nass
3,keyana,richter,,51.5,1900,0,nass
4,monolithos,porcu,,58.0,1900,0,nass
5,turkish,danz,,55.5,1900,0,nass
6,pearl of danon,seidl,,61.0,1900,0,nass
7,chaudoun,palik,,60.5,1900,0,nass
8,bassow,laznovska,,52.5,1900,0,nass
9,auendancer,wandt,,55.5,1900,0,nass
10,anoro,minarik,,58.5,1900,0,nass
11,bondola,bojko,,60.0,1900,0,nass
1,iron will,frank,,55.5,2300,0,nass
2,christoph columbus,starke,,56.0,2300,0,nass
3,our passion,minarik,,54.5,2300,0,nass
4,fair storm,bojko,,55.0,2300,0,nass
5,ghaayer,wandt,,61.0,2300,0,nass
6,wellinas,pietsch,,58.5,2300,0,nass
7,jocund (gb),best,,55.0,2300,0,nass
8,boshoevenscarlet,hellyn,,53.5,2300,0,nass
9,zerzura,porcu,,58.0,2300,0,nass
10,il ticino,clijmans,,54.5,2300,0,nass
11,silencio,seidl,,60.0,2300,0,nass
1,nuoro,best,,59.5,2500,0,nass
2,adlerorden,pietsch,,55.5,2500,0,nass
3,opatja,pecheur,,53.5,2500,0,nass
4,beach babe,minarik,,57.0,2500,0,nass
5,jolie fille,palik,,58.5,2500,0,nass
6,table mountain,wandt,,53.0,2500,0,nass
7,alrune,porcu,,54.5,2500,0,nass
8,never tell,richter,,53.0,2500,0,nass
9,lord of lips,glomba,,51.0,2500,0,nass
10,adrenalin rush,laznovska,,52.5,2500,0,nass
11,poly cross,mouchova,,51.5,2500,0,nass
1,renoir,piechulek,,57.0,1700,0,nass
