Date,Location,Distance,Prize,Category,Class,Ground_state,Horses
               01. November 2017             ,              München            ,2200 m  ,  5000 €,E,III,                     Boden: weich                  ,"['                   1.             ', ' Call Me Frenklin (IRE) ', 'S.Hellyn', 'Y.Almenräder', '55,0', '                   2.             ', ' Winoso (HUN) ', 'A.de Vries', 'B.Mühlbauer', '58,0', '                   3.             ', ' Snowhite ', 'P.J.McDonald', 'J.D.Hillis', '62,0', '                   4.             ', ' Waikiki ', 'N.Sechi', 'S.Richter', '57,0', '                   5.             ', ' CMon Mon (FR) ', 'M.Seidl', 'J.Mayer', '53,0', '                   6.             ', ' Dawn Ruler ', 'A.Alshowaikh', 'M.Figge', '56,5', '                   7.             ', ' Eternal Power (GB) ', 'Y.Echariaa', 'J.D.Hillis', '57,5', '                   8.             ', ' Koreen (IRE) ', 'K.Woodburn', 'A.Schwarzenbeck', '54,5', '                   9.             ', ' Turfrubin (FR) ', 'N.Polli', 'W.Glanz', '52,0', '                   10.             ', ' Turfsonne ', 'J.Bojko', 'R.Dzubasz', '52,0', '                   11.             ', ' Laurin (IRE) ', 'F.Minarik', 'B.Mühlbauer', '52,5']"
               05. November 2017             ,              Krefeld            ,1300 m  ,  5100 €,D,,                     Boden: weich                  ,"['                   1.             ', ' Dusky Dance (IRE) ', 'F.Minarik', 'P.Schiergen', '58,0', '                   2.             ', ' Northern Hollow ', 'M.Seidl', 'M.Klug', '57,0', '                   3.             ', ' All About Me ', 'A.Pietsch', 'M.Hofer', '56,0', '                   4.             ', ' Opera Snow ', 'M.Pecheur', 'A.Suborics', '57,0', '                   5.             ', ' Rockwell Lloyd (IRE) ', 'E.R.Weißmeier', 'R.Weißmeier', '57,0', '                   6.             ', ' Equiana (GB) ', 'S.Hellyn', 'H.Blume', '55,0', '                   7.             ', ' Red Blue ', 'M.Cadeddu', 'E.Kurdu', '55,0']"
               05. November 2017             ,              Krefeld            ,1700 m  ,  3600 €,F,IV,                     Boden: weich                  ,"['                   1.             ', ' Pensante ', 'R.Weber', 'R.Rohne', '61,0', '                   2.             ', ' So Soon ', 'S.Hellyn', 'G.Lentz', '53,5', '                   3.             ', ' Germanwings (FR) ', 'F.X.Weißmeier', 'R.Weißmeier', '58,0', '                   4.             ', ' Whishawizz (IRE) ', 'F.Minarik', 'H.Grewe', '60,0', '                   5.             ', ' Itchy ', 'O.Laznovska', 'B.Lenz', '59,0', '                   6.             ', ' Kings Soldier ', 'R.Piechulek', 'L.Pyritz', '59,5', '                   7.             ', ' Real Promise (GB) ', 'N.Sechi', 'V.Stefutti', '58,0', '                   8.             ', ' Salimera ', 'B.Murzabayev', 'K.Gernreich', '57,0', '                   9.             ', ' Magic Princess ', 'B.Roesch', 'B.Roesch', '53,0', '                   10.             ', ' Theodosia (IRE) ', 'A.Pietsch', 'C.v.d.Recke', '58,0', '                   11.             ', ' Captain Gerald (GB) ', 'A.Alshowaikh', 'J.H.Smith', '56,5', '                   12.             ', ' Teufelssee ', 'J.Bojko', 'A.Schleusner-Fruhriep', '52,0']"
               05. November 2017             ,              Krefeld            ,1300 m  ,  5100 €,E,III,                     Boden: weich                  ,"['                   1.             ', ' Porcupine Creek (IRE) ', 'S.Hellyn', 'H.Dewald', '55,0', '                   2.             ', ' Bishapur ', 'M.Cadeddu', 'C.Sprengel', '61,5', '                   3.             ', ' Dafina ', 'L.Delozier', 'T.Potters', '59,5', '                   4.             ', ' Wasseem (IRE) ', 'L.M.Engels', 'L.W.J.v.d.Meulen/NL', '53,5', '                   5.             ', ' Star Focus (IRE) ', 'A.v.d.Troost', 'C.Lenaers/BEL', '54,0', '                   6.             ', ' Tikthebox (IRE) ', 'M.Seidl', 'P.G.M.Verberkt/NL', '54,0', '                   7.             ', ' Latroya ', 'J.Bojko', 'H.Blume', '60,0', '                   8.             ', ' Amparo ', 'R.Piechulek', 'G.Lentz', '58,5', '                   9.             ', ' Fidji ', 'F.Minarik', 'C.J.M.Wolters/NL', '59,5', '                   10.             ', ' Daylight (GB) ', 'N.Sechi', 'T.v.d.Troost', '57,5']"
               05. November 2017             ,              Krefeld            ,2200 m  ,  10000 €,C,II,                     Boden: weich                  ,"['                   1.             ', ' Sexy Juke ', 'D.Porcu', 'P.Schiergen', '54,5', '                   2.             ', ' Camberwell ', 'R.Piechulek', 'A.Bolte', '56,5', '                   3.             ', ' Loulous Jackpot ', 'N.Sechi', 'L.Pyritz', '60,5', '                   4.             ', ' Native Fighter (IRE) ', 'F.Minarik', 'P.Schiergen', '55,5', '                   5.             ', ' Lipari ', 'L.Delozier', 'J.Hirschberger', '56,5', '                   6.             ', ' Luciani ', 'J.Bojko', 'F.J.Leve', '52,0', '                   7.             ', ' Angreifer ', 'M.Seidl', 'M.Klug', '52,0', '                   8.             ', ' Atreju ', 'S.Hellyn', 'H.Dewald', '59,0']"
               05. November 2017             ,              Krefeld            ,1700 m  ,  55000 €,A,Gr III,                     Boden: weich                  ,"['                   1.             ', ' Poldis Liebling ', 'B.Murzabayev', 'A.Wöhler', '56,0', '                   2.             ', ' Guiri ', 'F.Minarik', 'J.P.Carvalho', '56,0', '                   3.             ', ' Melodino ', 'D.Porcu', 'K.Demme', '56,0', '                   4.             ', ' Weltstar ', 'M.Pecheur', 'M.Klug', '56,0', '                   5.             ', ' Destino ', 'A.Helfenbein', 'M.Klug', '56,0', '                   6.             ', ' Star Max ', 'M.Seidl', 'M.Klug', '56,0']"
               05. November 2017             ,              Krefeld            ,2050 m  ,  5850 €,D,III,                     Boden: weich                  ,"['                   1.             ', ' Pardels ', 'A.Pietsch', 'C.v.d.Recke', '57,0', '                   2.             ', ' Commander Kirk (IRE) ', 'M.Pecheur', 'S.Smrczek', '61,0', '                   3.             ', ' Power Of Paradise ', 'M.Cadeddu', 'C.Thomas', '54,0', '                   4.             ', ' Swinging Wienerin ', 'A.Helfenbein', 'M.Klug', '54,5', '                   5.             ', ' Rose Duchesse (FR) ', 'D.Porcu', 'W.Hickst', '54,0', '                   6.             ', ' Athalyna ', 'J.Bojko', 'L.W.J.v.d.Meulen/NL', '52,0', '                   7.             ', ' Honourable Action (IRE) ', 'A.v.d.Troost', 'J.H.Smith', '53,0', '                   8.             ', ' Linnova (FR) ', 'E.R.Weißmeier', 'R.Weißmeier', '56,5', '                   9.             ', ' Wirbelwind ', 'F.Minarik', 'P.Vovcenko', '57,5', '                   10.             ', ' Yeah Cool (GB) ', 'A.Alshowaikh', 'J.H.Smith', '56,5', '                   11.             ', ' Nantano (IRE) ', 'N.Sechi', 'R.Krapp', '59,0']"
               05. November 2017             ,              Krefeld            ,2050 m  ,  55000 €,A,Gr III,                     Boden: weich                  ,"['                   1.             ', ' Veneto ', 'A.Pietsch', 'A.Suborics', '57,5', '                   2.             ', ' Devastar ', 'M.Seidl', 'M.Klug', '57,5', '                   3.             ', ' Capitano ', 'L.Delozier', 'J.Hirschberger', '56,5', '                   4.             ', ' Sound Check ', 'F.Minarik', 'P.Schiergen', '57,5', '                   5.             ', ' Colomano (GB) ', 'A.Helfenbein', 'M.Klug', '58,0', '                   6.             ', ' Navaro Girl (IRE) ', 'D.Porcu', 'P.Schiergen', '55,5']"
               05. November 2017             ,              Krefeld            ,3900 m  ,  10000 €,,,                     Boden: weich stellenweise schwer                  ,"['                   1.             ', ' Wutzelmann ', 'C.Chan', 'A.Schleusner-Fruhriep', '69,5', '                   2.             ', ' Jupiter ', 'H.Tabet', 'E.Herresthal', '70,5', '                   3.             ', ' Dellaheena Lad (IRE) ', 'P.A.Johnson', 'G.Symalla', '67,5', '                   4.             ', ' Daulys Anthem (IRE) ', 'S.Daroszewski', 'C.v.d.Recke', '67,5', '                   5.             ', ' Six Stone Ned (IRE) ', 'O.Schnakenberg', 'C.Paraknewitz-Kalla', '68,5', '                   0.             ', ' Admiral Quest (IRE) ', 'R.Bens', 'M.Borkowski/PL', '66,5', '                   0.             ', ' Hirondelle ', 'L.Sloup', 'E.Herresthal', '63,0', '                   0.             ', ' Dibadu (FR) ', 'M.Waterschoot', 'S.Weis', '64,5']"
               10. November 2017             ,              Dortmund (Sand)            ,1700 m  ,  5000 €,F,IV,                     Boden: nass                  ,"['                   1.             ', ' Big Panther (FR) ', 'M.Pecheur', 'C.Barsig', '59,0', '                   2.             ', ' Party Thyme (GB) ', 'S.Vogt', 'S.Schleppi', '56,5', '                   3.             ', ' Edelstein ', 'O.Laznovska', 'O.Laznovska', '57,0', '                   4.             ', ' Peppy Music ', 'B.Ganbat', 'M.Schu', '56,0', '                   5.             ', ' Divisionist (GB) ', 'S.Daroszewski', 'C.v.d.Recke', '59,0', '                   6.             ', ' Wisewit (GB) ', 'H.Mouchova', 'R.Weißmeier', '54,0', '                   7.             ', ' Mare ', 'J.Bojko', 'L.W.J.v.d.Meulen/NL', '55,0', '                   8.             ', ' Cheers All Round (GB) ', 'N.Sechi', 'B.Hellier', '54,0', '                   9.             ', ' Texas Scramble (GB) ', 'R.Danz', 'I.Kreger', '54,0', '                   10.             ', ' Shendini (IRE) ', '', 'K.Fievez', '56,0', '                   11.             ', ' Western Union ', 'C.Santangelo', 'M.Türk', '54,0', '                   12.             ', ' Polished Silver (FR) ', 'R.Weber', 'E.Storp', '64,0']"
               10. November 2017             ,              Dortmund (Sand)            ,1700 m  ,  5000 €,F,IV,                     Boden: nass                  ,"['                   1.             ', ' Pancho Villas (IRE) ', 'L.Achtermann', 'J.Beckmann', '54,0', '                   2.             ', ' Ohne Tadel ', 'L.Steudle', 'D.Lüker', '52,5', '                   3.             ', ' Bally Hoo ', 'S.Hellyn', 'U.Schwinn', '57,0', '                   4.             ', ' Kepheus ', 'A.Gräter', 'M.Türk', '56,5', '                   5.             ', ' Wrangel (IRE) ', 'C.Santangelo', 'S.Brüggemann', '54,0', '                   6.             ', ' Cazador (IRE) ', 'V.Schiergen', 'H.Rudolph', '59,0', '                   7.             ', ' Girandolo ', 'F.X.Weißmeier', 'R.Weißmeier', '60,0', '                   8.             ', ' Rinky Dink Dawn (IRE) ', 'F.Minarik', 'S.Schleppi', '63,0', '                   9.             ', ' Monets Sky (IRE) ', 'R.Piechulek', 'E.Storp', '58,0', '                   10.             ', ' Jungle Drum (FR) ', 'J.Rogl', 'J.Schriever', '54,5']"
               10. November 2017             ,              Dortmund (Sand)            ,1950 m  ,  6000 €,E,IV,                     Boden: nass                  ,"['                   1.             ', ' Ignaz ', 'T.Scardino', 'Marco Klein', '58,5', '                   2.             ', ' Voladora ', 'J.L.Silverio', 'L.Wöhling', '59,0', '                   3.             ', ' Platin Lover (SWI) ', 'P.Gibson', 'Marco Klein', '61,5', '                   4.             ', ' Diokletian ', 'R.Weber', 'H.Grewe', '61,0', '                   5.             ', ' Kleopatra Kimberly ', 'N.Sechi', 'L.W.J.v.d.Meulen/NL', '59,5', '                   6.             ', ' Marientaler (IRE) ', 'B.Ganbat', 'R.Werning', '56,5', '                   7.             ', ' Nightdance Prince ', 'J.Bojko', 'E.Storp', '56,5', '                   8.             ', ' Rising Rock (FR) ', 'F.Minarik', 'A.Bolte', '57,5', '                   9.             ', ' Piccadilly (SWI) ', 'S.Hellyn', 'H.A.Peeters/NL', '58,0', '                   10.             ', ' Russian Khan ', 'S.Vogt', 'R.Storp', '53,5', '                   11.             ', ' Canton Delight (FR) ', 'F.X.Weißmeier', 'C.v.d.Recke', '57,5', '                   12.             ', ' Dancing Rocky (AUT) ', 'M.Pecheur', 'S.Smrczek', '53,5', '                   13.             ', ' Dornröschen ', 'L.Delozier', 'S.Smrczek', '57,5', '                   14.             ', ' Fair Friend ', 'R.Piechulek', 'A.Bolte', '58,0']"
               10. November 2017             ,              Dortmund (Sand)            ,2500 m  ,  5000 €,F,IV,                     Boden: nass                  ,"['                   1.             ', ' Bailarina ', 'R.Weber', 'A.Suborics', '60,5', '                   2.             ', ' Allez Y ', 'B.Ganbat', 'U.Schwinn', '60,5', '                   3.             ', ' Wells Wonder ', 'F.Marcialis', 'E.Storp', '57,0', '                   4.             ', ' Tapering (USA) ', 'S.Hellyn', 'M.Schu', '54,0', '                   5.             ', ' Weltwunder ', 'N.Sechi', 'L.W.J.v.d.Meulen/NL', '63,5', '                   6.             ', ' Caipi Red (FR) ', 'O.Laznovska', 'O.Laznovska', '56,5', '                   7.             ', ' Olkaria ', 'F.Minarik', 'H.Rudolph', '58,0', '                   8.             ', ' Culworth Boy (IRE) ', 'J.L.Silverio', 'A.Bodenhagen', '55,5', '                   9.             ', ' Koschawa ', 'R.Piechulek', 'A.Bolte', '57,5', '                   10.             ', ' Winaldo (HUN) ', 'M.Cadeddu', 'F.Gerstner', '58,5', '                   11.             ', ' Quantum Of Solace ', 'C.Santangelo', 'A.Bodenhagen', '54,0']"
               10. November 2017             ,              Dortmund (Sand)            ,2500 m  ,  5000 €,F,IV,                     Boden: nass                  ,"['                   1.             ', ' Bayswater ', 'R.Bonk', 'J.Schriever', '63,0', '                   2.             ', ' Koonari (FR) ', 'J.Beckmann', 'J.Beckmann', '56,0', '                   3.             ', ' Leo Fantastico ', 'S.Daroszewski', 'P.Gehm', '64,5', '                   4.             ', ' Luan ', 'M.Cadeddu', 'U.Schwinn', '54,0', '                   5.             ', ' Art Charter (FR) ', 'T.Scardino', 'A.Bodenhagen', '57,0', '                   6.             ', ' Fritz ', 'R.Danz', 'M.Angermann', '55,5', '                   7.             ', ' Glamour Girl ', 'M.Pecheur', 'R.Storp', '54,0', '                   8.             ', ' Mediane (IRE) ', 'P.Gibson', 'N.Schneider', '62,0', '                   9.             ', ' Mathilda ', 'N.Sechi', 'R.Krapp', '55,0']"
               10. November 2017             ,              Dortmund (Sand)            ,1200 m  ,  6200 €,E,IV,                     Boden: nass                  ,"['                   1.             ', ' Romantic Angel (USA) ', 'F.X.Weißmeier', 'M.W.Falk', '58,5', '                   2.             ', ' Decadent Times (IRE) ', 'R.Danz', 'B.Sofsky-Prappacher', '52,0', '                   3.             ', ' Life Of Fame (GB) ', 'R.Piechulek', 'I.Kreger', '55,5', '                   4.             ', ' Prefect (GB) ', 'T.Scardino', 'A.Bodenhagen', '58,0', '                   5.             ', ' Sameer (IRE) ', 'M.Pecheur', 'M.Angermann', '58,5', '                   6.             ', ' Goldie Doll (HOL) ', 'M.Cadeddu', 'T.v.d.Troost', '55,0', '                   7.             ', ' Pagina De Mi Vida ', 'J.Bojko', 'L.W.J.v.d.Meulen/NL', '57,0', '                   8.             ', ' Nandolo ', 'G.C.P.Snijders', 'B.Hermans/NL', '55,5', '                   9.             ', ' Ivors Fantasy (IRE) ', 'S.Vogt', 'R.Weißmeier', '54,0', '                   10.             ', ' Pancake Day (GB) ', 'S.Hellyn', 'P.Berg', '59,5', '                   11.             ', ' Tracking (GB) ', 'B.Ganbat', 'A.Mulder', '56,0', '                   12.             ', ' Faintly (USA) ', 'L.Steudle', 'D.Lüker', '59,0', '                   13.             ', ' Summer Princess ', 'F.Minarik', 'J.Warren', '53,0', '                   14.             ', ' Trento (FR) ', 'A.Alshowaikh', 'H.Sauer', '59,5']"
               10. November 2017             ,              Dortmund (Sand)            ,1800 m  ,  7000 €,D,III,                     Boden: nass                  ,"['                   1.             ', ' Rock Academy ', 'S.Hellyn', 'P.Berg', '61,0', '                   2.             ', ' Munaashid (USA) ', 'M.Cadeddu', 'M.F.Weißmeier', '58,0', '                   3.             ', ' Kitaneso (GB) ', 'N.Sechi', 'Marco Klein', '61,0', '                   4.             ', ' Twain ', 'V.Schiergen', 'E.Mäder', '59,0', '                   5.             ', ' König Arte ', 'H.Mouchova', 'B.Bieß', '52,0', '                   6.             ', ' Highly Favoured (IRE) ', 'R.Piechulek', 'E.Storp', '57,5', '                   7.             ', ' Nareia ', 'S.Vogt', 'J.Warren', '55,0', '                   8.             ', ' Los Campanos ', 'B.Ganbat', 'A.Bolte', '55,0', '                   9.             ', ' Langaro (AUT) ', 'F.Minarik', 'A.Bolte', '53,5', '                   10.             ', ' Beetle Star ', 'M.Pecheur', 'P.Gehm', '56,0', '                   11.             ', ' Haarib (GB) ', 'J.Bojko', 'L.W.J.v.d.Meulen/NL', '56,0', '                   12.             ', ' Wonderwall (FR) ', 'T.Scardino', 'Marco Klein', '56,0']"
               10. November 2017             ,              Dortmund (Sand)            ,1200 m  ,  7000 €,D,III,                     Boden: nass                  ,"['                   1.             ', ' Darrell Rivers (GB) ', 'R.Weber', 'H.Grewe', '59,5', '                   2.             ', ' Areia ', 'A.Alshowaikh', 'A.Suborics', '61,5', '                   3.             ', ' Jazz Bay (GB) ', 'M.Pecheur', 'I.Ferentschak', '52,0', '                   4.             ', ' Rainmaker (FR) ', 'S.Hellyn', 'R.Rohne', '59,0', '                   5.             ', ' Ruby Red ', 'B.Ganbat', 'M.A.Gasmi', '56,0', '                   6.             ', ' Cheviot (USA) ', 'N.Sechi', 'J.D.Hillis', '58,5', '                   7.             ', ' Connected (FR) ', 'V.Schiergen', 'C.Barsig', '61,5', '                   8.             ', ' Dragoslav (GB) ', 'S.Vogt', 'W.Schütz', '58,0', '                   9.             ', ' Sir Theodore (IRE) ', 'J.Bojko', 'S.Richter', '56,0']"
