Date,Location,Distance,Prize,Category,Class,Ground_state,Horses
"<div class=""ZeitundOrt"">
               01. November 2017             </div>","<div class=""ZeitundOrt"">
              München            </div>",2200 m  ,  5000 €,E,III,"
                     Boden: weich                  ","['\n                   1.             ', '\n Call Me Frenklin (IRE) ', 'S.Hellyn', 'Y.Almenräder', '55,0', '\n                   2.             ', '\n Winoso (HUN) ', 'A.de Vries', 'B.Mühlbauer', '58,0', '\n                   3.             ', '\n Snowhite ', 'P.J.McDonald', 'J.D.Hillis', '62,0', '\n                   4.             ', '\n Waikiki ', 'N.Sechi', 'S.Richter', '57,0', '\n                   5.             ', '\n CMon Mon (FR) ', 'M.Seidl', 'J.Mayer', '53,0', '\n                   6.             ', '\n Dawn Ruler ', 'A.Alshowaikh', 'M.Figge', '56,5', '\n                   7.             ', '\n Eternal Power (GB) ', 'Y.Echariaa', 'J.D.Hillis', '57,5', '\n                   8.             ', '\n Koreen (IRE) ', 'K.Woodburn', 'A.Schwarzenbeck', '54,5', '\n                   9.             ', '\n Turfrubin (FR) ', 'N.Polli', 'W.Glanz', '52,0', '\n                   10.             ', '\n Turfsonne ', 'J.Bojko', 'R.Dzubasz', '52,0', '\n                   11.             ', '\n Laurin (IRE) ', 'F.Minarik', 'B.Mühlbauer', '52,5']"
"<div class=""ZeitundOrt"">
               05. November 2017             </div>","<div class=""ZeitundOrt"">
              Krefeld            </div>",1300 m  ,  5100 €,D,,"
                     Boden: weich                  ","['\n                   1.             ', '\n Dusky Dance (IRE) ', 'F.Minarik', 'P.Schiergen', '58,0', '\n                   2.             ', '\n Northern Hollow ', 'M.Seidl', 'M.Klug', '57,0', '\n                   3.             ', '\n All About Me ', 'A.Pietsch', 'M.Hofer', '56,0', '\n                   4.             ', '\n Opera Snow ', 'M.Pecheur', 'A.Suborics', '57,0', '\n                   5.             ', '\n Rockwell Lloyd (IRE) ', 'E.R.Weißmeier', 'R.Weißmeier', '57,0', '\n                   6.             ', '\n Equiana (GB) ', 'S.Hellyn', 'H.Blume', '55,0', '\n                   7.             ', '\n Red Blue ', 'M.Cadeddu', 'E.Kurdu', '55,0']"
"<div class=""ZeitundOrt"">
               05. November 2017             </div>","<div class=""ZeitundOrt"">
              Krefeld            </div>",1700 m  ,  3600 €,F,IV,"
                     Boden: weich                  ","['\n                   1.             ', '\n Pensante ', 'R.Weber', 'R.Rohne', '61,0', '\n                   2.             ', '\n So Soon ', 'S.Hellyn', 'G.Lentz', '53,5', '\n                   3.             ', '\n Germanwings (FR) ', 'F.X.Weißmeier', 'R.Weißmeier', '58,0', '\n                   4.             ', '\n Whishawizz (IRE) ', 'F.Minarik', 'H.Grewe', '60,0', '\n                   5.             ', '\n Itchy ', 'O.Laznovska', 'B.Lenz', '59,0', '\n                   6.             ', '\n Kings Soldier ', 'R.Piechulek', 'L.Pyritz', '59,5', '\n                   7.             ', '\n Real Promise (GB) ', 'N.Sechi', 'V.Stefutti', '58,0', '\n                   8.             ', '\n Salimera ', 'B.Murzabayev', 'K.Gernreich', '57,0', '\n                   9.             ', '\n Magic Princess ', 'B.Roesch', 'B.Roesch', '53,0', '\n                   10.             ', '\n Theodosia (IRE) ', 'A.Pietsch', 'C.v.d.Recke', '58,0', '\n                   11.             ', '\n Captain Gerald (GB) ', 'A.Alshowaikh', 'J.H.Smith', '56,5', '\n                   12.             ', '\n Teufelssee ', 'J.Bojko', 'A.Schleusner-Fruhriep', '52,0']"
"<div class=""ZeitundOrt"">
               05. November 2017             </div>","<div class=""ZeitundOrt"">
              Krefeld            </div>",1300 m  ,  5100 €,E,III,"
                     Boden: weich                  ","['\n                   1.             ', '\n Porcupine Creek (IRE) ', 'S.Hellyn', 'H.Dewald', '55,0', '\n                   2.             ', '\n Bishapur ', 'M.Cadeddu', 'C.Sprengel', '61,5', '\n                   3.             ', '\n Dafina ', 'L.Delozier', 'T.Potters', '59,5', '\n                   4.             ', '\n Wasseem (IRE) ', 'L.M.Engels', 'L.W.J.v.d.Meulen/NL', '53,5', '\n                   5.             ', '\n Star Focus (IRE) ', 'A.v.d.Troost', 'C.Lenaers/BEL', '54,0', '\n                   6.             ', '\n Tikthebox (IRE) ', 'M.Seidl', 'P.G.M.Verberkt/NL', '54,0', '\n                   7.             ', '\n Latroya ', 'J.Bojko', 'H.Blume', '60,0', '\n                   8.             ', '\n Amparo ', 'R.Piechulek', 'G.Lentz', '58,5', '\n                   9.             ', '\n Fidji ', 'F.Minarik', 'C.J.M.Wolters/NL', '59,5', '\n                   10.             ', '\n Daylight (GB) ', 'N.Sechi', 'T.v.d.Troost', '57,5']"
"<div class=""ZeitundOrt"">
               05. November 2017             </div>","<div class=""ZeitundOrt"">
              Krefeld            </div>",2200 m  ,  10000 €,C,II,"
                     Boden: weich                  ","['\n                   1.             ', '\n Sexy Juke ', 'D.Porcu', 'P.Schiergen', '54,5', '\n                   2.             ', '\n Camberwell ', 'R.Piechulek', 'A.Bolte', '56,5', '\n                   3.             ', '\n Loulous Jackpot ', 'N.Sechi', 'L.Pyritz', '60,5', '\n                   4.             ', '\n Native Fighter (IRE) ', 'F.Minarik', 'P.Schiergen', '55,5', '\n                   5.             ', '\n Lipari ', 'L.Delozier', 'J.Hirschberger', '56,5', '\n                   6.             ', '\n Luciani ', 'J.Bojko', 'F.J.Leve', '52,0', '\n                   7.             ', '\n Angreifer ', 'M.Seidl', 'M.Klug', '52,0', '\n                   8.             ', '\n Atreju ', 'S.Hellyn', 'H.Dewald', '59,0']"
"<div class=""ZeitundOrt"">
               05. November 2017             </div>","<div class=""ZeitundOrt"">
              Krefeld            </div>",1700 m  ,  55000 €,A,Gr III,"
                     Boden: weich                  ","['\n                   1.             ', '\n Poldis Liebling ', 'B.Murzabayev', 'A.Wöhler', '56,0', '\n                   2.             ', '\n Guiri ', 'F.Minarik', 'J.P.Carvalho', '56,0', '\n                   3.             ', '\n Melodino ', 'D.Porcu', 'K.Demme', '56,0', '\n                   4.             ', '\n Weltstar ', 'M.Pecheur', 'M.Klug', '56,0', '\n                   5.             ', '\n Destino ', 'A.Helfenbein', 'M.Klug', '56,0', '\n                   6.             ', '\n Star Max ', 'M.Seidl', 'M.Klug', '56,0']"
"<div class=""ZeitundOrt"">
               05. November 2017             </div>","<div class=""ZeitundOrt"">
              Krefeld            </div>",2050 m  ,  5850 €,D,III,"
                     Boden: weich                  ","['\n                   1.             ', '\n Pardels ', 'A.Pietsch', 'C.v.d.Recke', '57,0', '\n                   2.             ', '\n Commander Kirk (IRE) ', 'M.Pecheur', 'S.Smrczek', '61,0', '\n                   3.             ', '\n Power Of Paradise ', 'M.Cadeddu', 'C.Thomas', '54,0', '\n                   4.             ', '\n Swinging Wienerin ', 'A.Helfenbein', 'M.Klug', '54,5', '\n                   5.             ', '\n Rose Duchesse (FR) ', 'D.Porcu', 'W.Hickst', '54,0', '\n                   6.             ', '\n Athalyna ', 'J.Bojko', 'L.W.J.v.d.Meulen/NL', '52,0', '\n                   7.             ', '\n Honourable Action (IRE) ', 'A.v.d.Troost', 'J.H.Smith', '53,0', '\n                   8.             ', '\n Linnova (FR) ', 'E.R.Weißmeier', 'R.Weißmeier', '56,5', '\n                   9.             ', '\n Wirbelwind ', 'F.Minarik', 'P.Vovcenko', '57,5', '\n                   10.             ', '\n Yeah Cool (GB) ', 'A.Alshowaikh', 'J.H.Smith', '56,5', '\n                   11.             ', '\n Nantano (IRE) ', 'N.Sechi', 'R.Krapp', '59,0']"
"<div class=""ZeitundOrt"">
               05. November 2017             </div>","<div class=""ZeitundOrt"">
              Krefeld            </div>",2050 m  ,  55000 €,A,Gr III,"
                     Boden: weich                  ","['\n                   1.             ', '\n Veneto ', 'A.Pietsch', 'A.Suborics', '57,5', '\n                   2.             ', '\n Devastar ', 'M.Seidl', 'M.Klug', '57,5', '\n                   3.             ', '\n Capitano ', 'L.Delozier', 'J.Hirschberger', '56,5', '\n                   4.             ', '\n Sound Check ', 'F.Minarik', 'P.Schiergen', '57,5', '\n                   5.             ', '\n Colomano (GB) ', 'A.Helfenbein', 'M.Klug', '58,0', '\n                   6.             ', '\n Navaro Girl (IRE) ', 'D.Porcu', 'P.Schiergen', '55,5']"
"<div class=""ZeitundOrt"">
               05. November 2017             </div>","<div class=""ZeitundOrt"">
              Krefeld            </div>",3900 m  ,  10000 €,,,"
                     Boden: weich stellenweise schwer                  ","['\n                   1.             ', '\n Wutzelmann ', 'C.Chan', 'A.Schleusner-Fruhriep', '69,5', '\n                   2.             ', '\n Jupiter ', 'H.Tabet', 'E.Herresthal', '70,5', '\n                   3.             ', '\n Dellaheena Lad (IRE) ', 'P.A.Johnson', 'G.Symalla', '67,5', '\n                   4.             ', '\n Daulys Anthem (IRE) ', 'S.Daroszewski', 'C.v.d.Recke', '67,5', '\n                   5.             ', '\n Six Stone Ned (IRE) ', 'O.Schnakenberg', 'C.Paraknewitz-Kalla', '68,5', '\n                   0.             ', '\n Admiral Quest (IRE) ', 'R.Bens', 'M.Borkowski/PL', '66,5', '\n                   0.             ', '\n Hirondelle ', 'L.Sloup', 'E.Herresthal', '63,0', '\n                   0.             ', '\n Dibadu (FR) ', 'M.Waterschoot', 'S.Weis', '64,5']"
"<div class=""ZeitundOrt"">
               10. November 2017             </div>","<div class=""ZeitundOrt"">
              Dortmund (Sand)            </div>",1700 m  ,  5000 €,F,IV,"
                     Boden: nass                  ","['\n                   1.             ', '\n Big Panther (FR) ', 'M.Pecheur', 'C.Barsig', '59,0', '\n                   2.             ', '\n Party Thyme (GB) ', 'S.Vogt', 'S.Schleppi', '56,5', '\n                   3.             ', '\n Edelstein ', 'O.Laznovska', 'O.Laznovska', '57,0', '\n                   4.             ', '\n Peppy Music ', 'B.Ganbat', 'M.Schu', '56,0', '\n                   5.             ', '\n Divisionist (GB) ', 'S.Daroszewski', 'C.v.d.Recke', '59,0', '\n                   6.             ', '\n Wisewit (GB) ', 'H.Mouchova', 'R.Weißmeier', '54,0', '\n                   7.             ', '\n Mare ', 'J.Bojko', 'L.W.J.v.d.Meulen/NL', '55,0', '\n                   8.             ', '\n Cheers All Round (GB) ', 'N.Sechi', 'B.Hellier', '54,0', '\n                   9.             ', '\n Texas Scramble (GB) ', 'R.Danz', 'I.Kreger', '54,0', '\n                   10.             ', '\n Shendini (IRE) ', '', 'K.Fievez', '56,0', '\n                   11.             ', '\n Western Union ', 'C.Santangelo', 'M.Türk', '54,0', '\n                   12.             ', '\n Polished Silver (FR) ', 'R.Weber', 'E.Storp', '64,0']"
